车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤S|f13e33015a2c2c17c4908ff6d0d6a0f5,,0,0,,2017-05-01 15:25:07,2017-05-01 15:26:15,02010039,0,3,,,,,,80.00,,,2,20170501152507000201003931_7,20170501152507000201003932_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤Y|53a8f09d63ab6aa4d6206eb085682547,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:15,20504603,0,2,,,,,,107.00,,,2,20170501152612002050460321_7,20170501152612002050460322_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|a06d231f8c9c0e2cc5a5cd61dbdb1402,,0,0,,2017-05-01 15:25:34,2017-05-01 15:26:16,02010036,0,3,,,,,,-1.00,,,2,20170501152534000201003631_7,20170501152534000201003632_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤B|d4b11b913fefe3e901fb64102c4ff00d,,0,0,,2017-05-01 14:32:03,2017-05-01 15:26:16,20400802,0,1,,,,,,-1.00,,,2,20170501143203492040080211_7,20170501143203492040080212_7,,,,1,0,1,97,1,0,1,,Uf,,,
粤B|063d950b518108e71b378e032361aa47,,0,0,,2017-05-01 15:22:48,2017-05-01 15:26:16,02010021,0,1,,,,,,-1.00,,,2,20170501152248000201002111_7,20170501152248000201002112_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤L|e34523c29de5a5b6cb5889ed31ec71b6,,0,0,,2017-05-01 15:23:16,2017-05-01 15:26:16,20602406,0,1,,,,,,59.56,,,2,20170501152316642060240611_7,20170501152316642060240612_7,,,,1,0,1,685,0,0,1,,Uf,,,
粤T|64fc2be09d26f56c81955437b181e688,,0,0,,2017-05-01 15:23:28,2017-05-01 15:26:16,02010050,0,2,,,,,,-1.00,,,2,20170501152328000201005021_7,20170501152328000201005022_7,,,,1,0,1,94,1,0,1,,Uf,,,
粤B|7799caf13cfd07f8847c852e3c2bcc1a,,0,0,,2017-05-01 15:25:59,2017-05-01 15:26:16,30606708,0,5,,,,,,-1.00,,,2,20170501152559043060670851_7,20170501152559043060670852_7,,,,1,0,0,80,0,0,1,,Uf,,,
粤B|8300227a5d742ae2a144097b673bb2f3,,0,0,,2017-05-01 15:26:13,2017-05-01 15:26:16,30606710,0,2,,,,,,-1.00,,,2,20170501152613223060671021_7,20170501152613223060671022_7,,,,1,0,0,100,0,0,1,,Uf,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-01 15:16:14,2017-05-01 15:26:16,31007001,0,1,,,,,,-1.00,,,2,20170501151614003100700111_7,20170501151614003100700112_7,,,,0,0,1,0,1,0,1,,Uf,,,
粤B|7734f7eb43a9bb15ac46b4d223ed5462,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:16,10300207,0,2,,,,,,83.00,,,2,20170501152612971030020721_7,20170501152613131030020722_7,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|3df8ab6a015da21059b95548a64415bd,,0,0,,2017-05-01 14:30:17,2017-05-01 15:26:16,02010128,0,3,,,,,,96.00,,,2,20170501143017560201012831_7,20170501143017640201012832_7,,,,1,0,1,97,1,0,1,,Uf,,,
粤B|6a21337a89c0fdf4063fc9b111291bd6,,2,0,,2017-05-01 15:22:08,2017-05-01 15:26:16,10100211,0,5,,,,,,23.00,,,2,20170501152208001010021151_7,20170501152208001010021152_7,,,,1,0,1,90,1,0,1,,Uf,,,
粤B|3d8bac2b19f2369ce866e5bfe8be59cb,,0,0,,2017-05-01 15:22:26,2017-05-01 15:26:16,20504601,0,2,,,,,,65.00,,,2,20170501152226102050460121_7,20170501152226102050460122_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤P|36c61c25b41263c1ffe37aa6e093aa08,,0,0,,2017-05-01 15:22:19,2017-05-01 15:26:16,20605002,0,3,,,,,,-1.00,,,2,20170501152219002060500231_7,20170501152219002060500232_7,,,,1,0,1,681,1,0,1,,Uf,,,
粤B|9e35b3e3f531213c1011bc0b724522c3,,0,0,,2017-05-01 14:36:46,2017-05-01 15:26:17,20602106,0,1,,,,,,-1.00,,,2,20170501143646292060210611_7,20170501143646292060210612_7,,,,1,0,0,82,0,0,1,,Uf,,,
粤B|7a4dfac840a6d21a285be53789adb329,,0,0,,2017-05-01 15:26:13,2017-05-01 15:26:17,02010036,0,2,,,,,,-1.00,,,2,20170501152613000201003621_7,20170501152613000201003622_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|31edbae66ba13ea33c58007aa989abc4,,0,0,,2017-05-01 15:24:06,2017-05-01 15:26:17,02010038,0,2,,,,,,-1.00,,,2,20170501152406000201003821_7,20170501152406000201003822_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤B|54067394b899cbf91a1637b440c0504a,,0,0,,2017-05-01 15:22:55,2017-05-01 15:26:17,20501810,0,2,,,,,,116.00,,,2,20170501152255002050181021_7,20170501152255002050181022_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|f3dc22e9c079844cd8f3db76e2668f8a,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:17,02010021,0,3,,,,,,-1.00,,,2,20170501152612000201002131_7,20170501152612000201002132_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|283f48f8cf605867aa6d607f2c007c64,,0,0,,2017-05-01 15:24:33,2017-05-01 15:26:17,30606702,0,1,,,,,,57.00,,,2,20170501152433553060670211_7,20170501152433553060670212_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|32de18d98375cff0e45dec854ad63f5f,,0,0,,2017-05-01 15:26:11,2017-05-01 15:26:17,10100205,0,2,,,,,,70.00,,,2,20170501152611441010020521_7,20170501152611521010020522_7,,,,1,0,1,92,0,0,1,,Uf,,,
粤W|078073cd36a07708339ff2173988ef96,,0,0,,2017-05-01 15:26:13,2017-05-01 15:26:17,02010041,0,1,,,,,,86.00,,,2,20170501152613000201004111_7,20170501152613000201004112_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤L|d8dddf9a4ad00afa92e49eeae9ae9c30,,0,0,,2017-05-01 15:26:09,2017-05-01 15:26:17,20605002,0,3,,,,,,-1.00,,,2,20170501152609002060500231_7,20170501152609002060500232_7,,,,1,0,1,681,0,0,1,,Uf,,,
粤B|c626334d166b85d2b4f564c508f87567,,2,0,,2017-05-01 15:23:56,2017-05-01 15:26:18,20507401,0,6,,,,,,67.00,,,2,20170501152356402050740161_7,20170501152356402050740162_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|170fdecab5b2801359872f2169b5cef8,,0,0,,2017-05-01 14:13:33,2017-05-01 15:26:18,02010073,0,2,,,,,,20.00,,,2,20170501141333800201007321_7,20170501141334520201007322_7,,,,1,0,1,98,1,0,1,,Uf,,,
粤U|cb92f3749a367be7a0ff995fa105f3f8,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:18,02010037,0,1,,,,,,-1.00,,,2,20170501152614000201003711_7,20170501152614000201003712_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|d8379dffcf777301244b3dbacc0f30cf,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:18,20400801,0,2,,,,,,-1.00,,,2,20170501152614002040080121_7,20170501152614002040080122_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤B|c4717ca782d5f73fb0d90ad81538d4df,,2,0,,2017-05-01 15:26:11,2017-05-01 15:26:18,10100205,0,4,,,,,,49.00,,,2,20170501152611671010020541_7,20170501152611751010020542_7,,,,1,0,1,92,0,0,1,,Uf,,,
粤S|1f6bccafcfbb2700f4de992195c26ac7,,0,0,,2017-05-01 15:25:49,2017-05-01 15:26:18,20501805,0,1,,,,,,0.00,,,2,20170501152549062050180511_7,20170501152549102050180512_7,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|dfea77af09f26e39551fcbc50556f669,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:18,20605002,0,3,,,,,,-1.00,,,2,20170501152617002060500231_7,20170501152617002060500232_7,,,,1,0,1,672,0,0,1,,Uf,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-01 15:23:28,2017-05-01 15:26:18,02010050,0,2,,,,,,-1.00,,,2,20170501152328000201005021_7,20170501152328000201005022_7,,,,0,0,1,0,1,0,1,,Uf,,,
粤B|5576eeae32399290196115e49c903ac5,,0,0,,2017-05-01 15:22:23,2017-05-01 15:26:18,02010056,0,2,,,,,,-1.00,,,2,20170501152223000201005621_7,20170501152223000201005622_7,,,,1,0,1,89,1,0,1,,Uf,,,
粤S|eb116dfe33ff102bb0e7c94fd2c88546,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:18,02010054,0,2,,,,,,-1.00,,,2,20170501152612000201005421_7,20170501152612000201005422_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|e7962266e3367d84939c5e15c1effe50,,0,0,,2017-05-01 15:26:15,2017-05-01 15:26:18,20501803,0,2,,,,,,0.00,,,2,20170501152615002050180321_7,20170501152615002050180322_7,,,,1,0,1,79,0,0,1,,Uf,,,
粤B|e130853095dfd5e56838ea5d2b8b0114,,0,0,,2017-05-01 15:22:57,2017-05-01 15:26:18,20501810,0,1,,,,,,120.00,,,2,20170501152257002050181011_7,20170501152257002050181012_7,,,,1,0,1,93,0,0,1,,Uf,,,
粤B|4b79418dfb2b236866f2b2c00b341c9f,,0,0,,2017-05-01 15:26:10,2017-05-01 15:26:18,30606702,0,1,,,,,,60.00,,,2,20170501152610673060670211_7,20170501152610673060670212_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|1eef0ee63d119384e773dca42d7b2064,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:18,10100205,0,3,,,,,,70.00,,,2,20170501152614001010020531_7,20170501152614081010020532_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|bed1b742e145fab6aa32bf66e91bf649,,0,0,,2017-05-01 15:07:36,2017-05-01 15:26:18,20602406,0,1,,,,,,52.59,,,2,20170501150736812060240611_7,20170501150736812060240612_7,,,,1,0,1,686,1,0,1,,Uf,,,
粤B|fa671e95d17214f823cd58ac85934dfd,,0,0,,2017-05-01 14:32:26,2017-05-01 15:26:18,20101812,0,2,,,,,,0.00,,,2,20170501143226002010181221_7,20170501143226002010181222_7,,,,1,0,1,95,1,0,1,,Uf,,,
粤B|f630a738126f59d725fb6f4c382cf354,,0,0,,2017-05-01 15:22:41,2017-05-01 15:26:19,02010042,0,2,,,,,,-1.00,,,2,20170501152241000201004221_7,20170501152241000201004222_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|c7f76bb432116899055021e8f8fc7a9d,,0,0,,2017-05-01 15:22:43,2017-05-01 15:26:19,02010042,0,2,,,,,,-1.00,,,2,20170501152243000201004221_7,20170501152243000201004222_7,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|938109a62308be21e7bb01b304c74b3e,,0,0,,2017-05-01 15:23:21,2017-05-01 15:26:19,20501808,0,3,,,,,,45.64,,,2,20170501152321352050180831_7,20170501152321352050180832_7,,,,1,0,1,669,0,0,1,,Uf,,,
湘N|229c7f41abea2641e6a430ff10d0975e,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:19,30606706,0,5,,,,,,-1.00,,,2,20170501152614543060670651_7,20170501152614543060670652_7,,,,1,0,0,81,0,0,1,,Uf,,,
粤S|e172dd82fd0a167f98b50898a4673ef8,,0,0,,2017-05-01 15:25:28,2017-05-01 15:26:19,20501804,0,2,,,,,,82.00,,,2,20170501152528002050180421_7,20170501152528002050180422_7,,,,1,0,1,93,0,0,1,,Uf,,,
粤B|22a27790df66ce2f30a17ac16ab83567,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:19,02010043,0,2,,,,,,-1.00,,,2,20170501152617000201004321_7,20170501152617000201004322_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|a0b4e00cee809d4900e603363d737a48,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:19,30606702,0,6,,,,,,49.00,,,2,20170501152612263060670261_7,20170501152612263060670262_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|9c7d96fc64b2702775d69417dc737ba9,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:19,10100205,0,2,,,,,,71.00,,,2,20170501152614641010020521_7,20170501152614721010020522_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤S|542a1a728d6eee40850b7ef99ac0b309,,0,0,,2017-05-01 15:26:09,2017-05-01 15:26:19,20501808,0,1,,,,,,36.09,,,2,20170501152609012050180811_7,20170501152609012050180812_7,,,,1,0,1,675,0,0,1,,Uf,,,
粤B|d6f606cce262f4204c67d3325cb0612a,,0,0,,2017-05-01 15:22:35,2017-05-01 15:26:19,20504601,0,1,,,,,,76.00,,,2,20170501152235222050460111_7,20170501152235222050460112_7,,,,1,0,1,96,0,0,1,,Uf,,,
赣B|3febda5ce7b39d82d6c8ddd3b750b29f,,0,0,,2017-05-01 15:26:14,2017-05-01 15:26:19,20101812,0,1,,,,,,0.00,,,2,20170501152614002010181211_7,20170501152614002010181212_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤B|f6cbda7b8332cb78e13b25f8442425a7,,0,0,,2017-05-01 15:26:15,2017-05-01 15:26:19,20501805,0,2,,,,,,0.00,,,2,20170501152615062050180521_7,20170501152615102050180522_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤M|8792d05284cb0d27568d7e4bb5ed8f2e,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:19,20501805,0,2,,,,,,0.00,,,2,20170501152617062050180521_7,20170501152617102050180522_7,,,,1,0,1,97,0,0,1,,Uf,,,
粤X|81338721b2ad8aedc3cb28791c5eca79,,0,0,,2017-05-01 15:25:54,2017-05-01 15:26:19,02010042,0,1,,,,,,-1.00,,,2,20170501152554000201004211_7,20170501152554000201004212_7,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|ac7edf0623dc28411783786f9be8c378,,2,0,,2017-05-01 15:22:04,2017-05-01 15:26:19,02010049,0,2,,,,,,-1.00,,,2,20170501152204000201004921_7,20170501152204000201004922_7,,,,1,0,1,89,0,0,1,,Uf,,,
粤B|aaa3c048876040dd7c6925b6dbe67f89,,0,0,,2017-05-01 15:26:11,2017-05-01 15:26:19,02010055,0,3,,,,,,-1.00,,,2,20170501152611000201005531_7,20170501152611000201005532_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|66815f7914650bd85870eaad2a43edbf,,0,0,,2017-05-01 15:26:07,2017-05-01 15:26:19,30606706,0,1,,,,,,-1.00,,,2,20170501152607763060670611_7,20170501152607763060670612_7,,,,1,0,0,67,0,0,1,,Uf,,,
粤B|29d48dd48554eeaff33b083509429054,,0,0,,2017-05-01 14:25:10,2017-05-01 15:26:19,20602103,0,2,,,,,,-1.00,,,2,20170501142510112060210321_7,20170501142510112060210322_7,,,,1,0,0,82,0,0,1,,Uf,,,
粤S|2c866bbf885d3bd69c9f9b6ff9f1a613,,0,0,,2017-05-01 15:26:16,2017-05-01 15:26:19,20501803,0,1,,,,,,0.00,,,2,20170501152616002050180311_7,20170501152616002050180312_7,,,,1,0,1,97,0,0,1,,Uf,,,
浙J|032330a8fc25ee0aa7dcd0fc4d7f6bda,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:19,10100211,0,1,,,,,,47.00,,,2,20170501152617001010021111_7,20170501152617001010021112_7,,,,1,0,1,95,0,0,1,,Uf,,,
粤B|c266130588a2fa7da986867ee9b53e2f,,0,0,,2017-05-01 15:25:13,2017-05-01 15:26:19,20501802,0,2,,,,,,82.00,,,2,20170501152513002050180221_7,20170501152513002050180222_7,,,,1,0,1,88,0,0,1,,Uf,,,
粤B|c96ee03666e998a6c510f8d266e5c083,,2,0,,2017-05-01 15:25:16,2017-05-01 15:26:19,10100211,0,5,,,,,,31.00,,,2,20170501152516001010021151_7,20170501152516001010021152_7,,,,1,0,1,92,0,0,1,,Uf,,,
粤B|2e043ac8cbc16aad7f98f5cc2c046741,,0,0,,2017-05-01 14:32:04,2017-05-01 15:26:20,20400802,0,2,,,,,,-1.00,,,2,20170501143204982040080221_7,20170501143204982040080222_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤A|f5d9e2cabe4a1633103831fc555817f6,,0,0,,2017-05-01 15:14:24,2017-05-01 15:26:20,20501809,0,1,,,,,,45.38,,,2,20170501151424192050180911_7,20170501151424192050180912_7,,,,1,0,1,682,1,0,1,,Uf,,,
粤B|8128305172506853fe9a659c4b99f5b0,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:20,02010021,0,3,,,,,,-1.00,,,2,20170501152617000201002131_7,20170501152617000201002132_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤A|8fad55cf798862d21e71095518df151c,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:20,20301814,0,1,,,,,,81.00,,,2,20170501152612002030181411_7,20170501152612002030181412_7,,,,1,0,1,96,0,0,1,,Uf,,,
粤B|97d250667e87f9d4d3322a10205c3981,,0,0,,2017-05-01 15:26:08,2017-05-01 15:26:20,10100206,0,4,,,,,,79.00,,,2,20170501152608781010020641_7,20170501152608941010020642_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤K|ec5b49b946ea8cf71f8137204bbee79d,,0,0,,2017-05-01 15:24:58,2017-05-01 15:26:20,20501810,0,6,,,,,,64.34,,,2,20170501152458272050181061_7,20170501152458272050181062_7,,,,1,0,1,684,0,0,1,,Uf,,,
粤B|0e9f3d72d9172d0a03b596f44eb853fc,,0,0,,2017-05-01 15:23:21,2017-05-01 15:26:20,20504601,0,1,,,,,,77.00,,,2,20170501152321062050460111_7,20170501152321062050460112_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤B|da20980c46ce1516df95db6c057b680d,,0,0,,2017-05-01 15:23:41,2017-05-01 15:26:20,20605002,0,3,,,,,,-1.00,,,2,20170501152341002060500231_7,20170501152341002060500232_7,,,,1,0,1,678,0,0,1,,Uf,,,
粤S|b3d3f574e9fe318a97cf0055c14f2d2c,,0,0,,2017-05-01 15:22:10,2017-05-01 15:26:20,20501808,0,3,,,,,,51.95,,,2,20170501152210912050180831_7,20170501152210912050180832_7,,,,1,0,1,656,1,0,1,,Uf,,,
粤B|10acebf6fe2f56aacb60f55091a8fc84,,0,0,,2017-05-01 14:57:12,2017-05-01 15:26:20,10100403,0,2,,,,,,-1.00,,,2,20170501145712401010040321_7,20170501145713161010040322_7,,,,1,0,0,1,0,0,1,,Uf,,,
粤B|5a4ba638e0b851e49eb730fb8f12b9fc,,0,0,,2017-05-01 15:26:12,2017-05-01 15:26:20,02010055,0,1,,,,,,-1.00,,,2,20170501152612000201005511_7,20170501152612000201005512_7,,,,1,0,1,88,0,0,1,,Uf,,,
粤B|25fe93930bc8eaa46b247d7f485ac238,,0,0,,2017-05-01 15:22:52,2017-05-01 15:26:21,02010052,0,2,,,,,,-1.00,,,2,20170501152252000201005221_7,20170501152252000201005222_7,,,,1,0,1,98,0,0,1,,Uf,,,
粤L|7e614cd31488f4305d78ea908275001d,,0,0,,2017-05-01 15:25:49,2017-05-01 15:26:21,30606704,0,3,,,,,,-1.00,,,2,20170501152549083060670431_7,20170501152549083060670432_7,,,,1,0,0,88,0,0,1,,Uf,,,
粤B|4e9465cc4e71c7d8c00fde6be68f5c20,,0,0,,2017-05-01 15:26:17,2017-05-01 15:26:21,30606707,0,3,,,,,,-1.00,,,2,20170501152617253060670731_7,20170501152617253060670732_7,,,,1,0,0,78,0,0,1,,Uf,,,
粤B|1b71057cb0e2d7be831b32c2e512302b,,0,0,,2017-05-01 15:26:21,2017-05-01 15:26:21,02010036,0,2,,,,,,-1.00,,,2,20170501152621000201003621_7,20170501152621000201003622_7,,,,1,0,1,96,0,0,1,,Uf,,,
