车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
﻿车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤B|de83233b8176013bf7f8a748ac556907,,0,0,,2017-05-02 00:01:51,2017-05-02 00:01:55,02010122,0,2,,,0,,,78.00,113,,0,pic?0dd005695-49eca11i523cp9--b1c45cf623238i2b1*=2d6*95d3i*s1d=i5p7t=03*m4-0e=3543=5i10b_113,pic?0dd005695-49eca11i523cp9--b1c45cf623238i2b1*=2d6*95d3i*s1d=i6p7t=03*m4-0e=3543=5i10b_113,,,,1,0,0,0,0,0,2,,,,,
粤L|7a0c8d1fbfdf5eddc1c5969fe051abb9,,0,0,,2017-05-02 00:01:52,2017-05-02 00:01:55,10200102,0,2,,,0,,,51.00,109,,0,pic?0ddb056c9-49e3d11i5f35pa--029c0e892b0e4i1b1*=6d5*05d4i*s1d=i5p1t=0d*m4-4c=352f=5i20e_109,pic?0ddb056c9-49e3d11i5f35pa--029c0e892b0e4i1b1*=6d5*05d4i*s1d=i6p1t=0d*m4-4c=352f=5i20e_109,,,,1,0,0,0,0,0,2,,,,,
粤M|2d3cd91b1bc65c9d9836e2e4d2fd34c9,,0,0,,2017-05-02 00:01:51,2017-05-02 00:01:56,30608002,0,1,,,0,,,35.00,101,,0,pic?0ddb036ce-49e7711i4638pb--61b45cf623d38i2b2*=5d7*18d6i*s1d=i6p7t=09*m4-e4=3606=5i50e_101,pic?0ddb036ce-49e7711i4638pb--61b45cf623d38i2b2*=5d7*18d6i*s1d=i7p7t=09*m4-e4=3606=5i50e_101,,,,1,0,0,0,0,0,2,,,,,
粤B|ec300120662df97bb8a417ce65c10db0,,0,0,,2017-05-02 00:01:53,2017-05-02 00:01:56,20504202,0,4,,,0,,,0.00,113,,0,pic?0dd303639-49ed111i5b3ep8--f2cc0e892bbe4i1b5*=9d3s2*=6dpi*=1d2i0t50a*m4-5e=3620=5i607_113,pic?0dd303639-49ed111i5b3ep8--f2cc0e892bbe4i1b5*=9d3s2*=6dpi*=1d3i0t50a*m4-5e=3620=5i607_113,,,,1,0,0,0,0,0,2,,,,,
粤B|1e4538282512830d969f6f92124678c1,,0,0,,2017-05-02 00:01:52,2017-05-02 00:01:56,10203802,0,5,,,0,,,83.00,113,,0,pic?0ddd056a1-49e8a11i31*dp=*7pdi=*1s9i1=85b5i5dc3*5ff543162-8c13d5--t=036m4503e350i92=_113,pic?0ddd056a1-49e8a11i41*dp=*7pdi=*1s9i1=85b5i5dc3*5ff543162-8c13d5--t=036m4503e350i92=_113,,,,1,0,0,0,0,0,2,,,,,
粤B|cac4405ee49e9f66522067306b6b1b86,,0,0,,2017-05-02 00:01:53,2017-05-02 00:01:56,20502003,0,3,,,0,,,61.00,101,,0,pic?=d05i3f3541eb3=te-3m*=01p3i=d1s*i4d90*2d9=*2bcid3a325fc54411--9p43f4i117be94-68650ed0_101,pic?=d05i3f3541eb3=te-4m*=01p3i=d1s*i4d90*2d9=*2bcid3a325fc54411--9p43f4i117be94-68650ed0_101,,,,1,0,0,0,0,0,2,,,,,
粤B|9728707723b81c4f61ed59cae370d642,,0,0,,2017-05-02 00:01:53,2017-05-02 00:01:57,10300505,0,1,,,0,,,0.00,115,,0,pic?=d06iee7547823=t5-2m*=05p0i=d1s*i7d49*5d0=*1b3i232326fc54d18--8p7345i111ae94-75630bd0_115,pic?=d06iee7547823=t5-3m*=05p0i=d1s*i7d49*5d0=*1b3i232326fc54d18--8p7345i111ae94-75630bd0_115,,,,1,0,0,0,0,0,2,,,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-02 00:01:54,2017-05-02 00:01:57,20300701,0,2,,,0,,,0.00,113,,0,pic?0dd4056ae-49e1a11i5131p8--51d45cf523c35ifb5*=1d9s5*=2dpi*=1d2i5t303*m4-08=3563=5i308_113,pic?0dd4056ae-49e1a11i5131p8--51d45cf523c35ifb5*=1d9s5*=2dpi*=1d3i5t303*m4-08=3563=5i308_113,,,,0,0,0,0,0,0,2,,,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-02 00:01:52,2017-05-02 00:01:57,10300503,0,8,,,0,,,0.00,101,,0,pic?=d05i884544483=te-4m*=02p8i=d1s*i5d27*5d4=*3b1i4e8b298e0c120--8p03d4i1177e94-b9650bd0_101,pic?=d05i884544483=te-5m*=02p8i=d1s*i5d27*5d4=*3b1i4e8b298e0c120--8p03d4i1177e94-b9650bd0_101,,,,0,0,0,0,0,0,2,,,,,
粤B|700dd3d627ff807036f10ca27b5d2e66,,0,0,,2017-05-02 00:01:55,2017-05-02 00:01:58,10100405,0,1,,,0,,,68.00,101,,0,pic?=d06i3f8541eb3=te-3m*=01p3i=d1s*i5d90*2d9=*2bcid3a325fc54411--9p43f4i117be94-68630ed0_101,pic?=d06i3f8541eb3=te-4m*=01p3i=d1s*i5d90*2d9=*2bcid3a325fc54411--9p43f4i117be94-68630ed0_101,,,,1,0,0,0,0,0,2,,,,,
