监测点id,方向,卡口经度,卡口纬度,2017-05-05 00:00:00-2017-05-05 00:30:00,2017-05-05 00:30:00-2017-05-05 01:00:00,2017-05-05 01:00:00-2017-05-05 01:30:00,2017-05-05 01:30:00-2017-05-05 02:00:00,2017-05-05 02:00:00-2017-05-05 02:30:00,2017-05-05 02:30:00-2017-05-05 03:00:00,2017-05-05 03:00:00-2017-05-05 03:30:00,2017-05-05 03:30:00-2017-05-05 04:00:00,2017-05-05 04:00:00-2017-05-05 04:30:00,2017-05-05 04:30:00-2017-05-05 05:00:00,2017-05-05 05:00:00-2017-05-05 05:30:00,2017-05-05 05:30:00-2017-05-05 06:00:00,2017-05-05 06:00:00-2017-05-05 06:30:00,2017-05-05 06:30:00-2017-05-05 07:00:00,2017-05-05 07:00:00-2017-05-05 07:30:00,2017-05-05 07:30:00-2017-05-05 08:00:00,2017-05-05 08:00:00-2017-05-05 08:30:00,2017-05-05 10:30:00-2017-05-05 11:00:00,2017-05-05 11:00:00-2017-05-05 11:30:00,2017-05-05 12:00:00-2017-05-05 12:30:00,2017-05-05 12:30:00-2017-05-05 13:00:00,2017-05-05 14:00:00-2017-05-05 14:30:00,2017-05-05 15:00:00-2017-05-05 15:30:00,2017-05-05 15:30:00-2017-05-05 16:00:00,2017-05-05 16:30:00-2017-05-05 17:00:00,2017-05-05 17:30:00-2017-05-05 18:00:00,2017-05-05 18:00:00-2017-05-05 18:30:00,2017-05-05 18:30:00-2017-05-05 19:00:00,2017-05-05 19:00:00-2017-05-05 19:30:00,2017-05-05 19:30:00-2017-05-05 20:00:00,2017-05-05 20:00:00-2017-05-05 20:30:00,2017-05-05 20:30:00-2017-05-05 21:00:00,2017-05-05 21:00:00-2017-05-05 21:30:00,2017-05-05 21:30:00-2017-05-05 22:00:00,2017-05-05 22:00:00-2017-05-05 22:30:00,2017-05-05 22:30:00-2017-05-05 23:00:00,2017-05-05 23:00:00-2017-05-05 23:30:00,2017-05-05 23:30:00-2017-05-06 00:00:00
30606708,,,,512.0,497.0,376.0,295.0,237.0,235.0,201.0,176.0,124.0,138.0,170.0,209.0,271.0,594.0,1155.0,1796.0,2058.0,1964.0,1932.0,4292.0,1601.0,2350.0,1782.0,2875.0,3336.0,2759.0,2648.0,2257.0,2499.0,2152.0,2273.0,2293.0,2105.0,1792.0,1789.0,1618.0,1301.0,1024.0
2010366,,,,495.0,390.0,337.0,289.0,194.0,191.0,159.0,141.0,113.0,147.0,139.0,199.0,299.0,660.0,1267.0,1581.0,1590.0,2365.0,2136.0,1649.0,1707.0,2248.0,1749.0,2096.0,2326.0,2281.0,2093.0,1941.0,1875.0,1853.0,1928.0,1536.0,1700.0,1522.0,1423.0,1200.0,972.0,806.0
20507402,,,,491.0,419.0,398.0,370.0,294.0,238.0,248.0,324.0,598.0,832.0,977.0,1173.0,1196.0,1165.0,939.0,902.0,778.0,855.0,904.0,920.0,965.0,848.0,958.0,1058.0,1119.0,950.0,909.0,865.0,755.0,725.0,649.0,645.0,546.0,479.0,432.0,378.0,425.0,376.0
20605302,,,,486.0,423.0,342.0,365.0,282.0,315.0,340.0,317.0,345.0,371.0,434.0,466.0,600.0,903.0,1137.0,1426.0,1454.0,1233.0,1066.0,879.0,936.0,1109.0,1029.0,1062.0,1154.0,1045.0,1037.0,894.0,825.0,808.0,823.0,834.0,827.0,770.0,725.0,845.0,783.0,727.0
20506501,,,,470.0,425.0,391.0,283.0,256.0,241.0,204.0,224.0,201.0,206.0,216.0,242.0,343.0,498.0,781.0,903.0,937.0,930.0,1099.0,1076.0,1244.0,1072.0,513.0,807.0,854.0,988.0,999.0,1078.0,1202.0,1290.0,1321.0,946.0,991.0,1266.0,1204.0,992.0,804.0,658.0
2010365,,,,465.0,344.0,301.0,236.0,203.0,159.0,141.0,130.0,160.0,156.0,203.0,306.0,646.0,1097.0,1555.0,1706.0,1833.0,1182.0,1464.0,1733.0,1762.0,1563.0,2677.0,2609.0,2694.0,2891.0,2847.0,2366.0,1948.0,2181.0,2147.0,1986.0,1754.0,1703.0,1512.0,1366.0,1215.0,1086.0
30606706,,,,463.0,386.0,310.0,211.0,206.0,205.0,177.0,189.0,195.0,229.0,236.0,347.0,627.0,1367.0,2067.0,2403.0,2446.0,1487.0,1179.0,2895.0,2664.0,1823.0,1246.0,2267.0,2924.0,3885.0,3941.0,2946.0,2793.0,3429.0,3262.0,3142.0,3333.0,3213.0,1526.0,1159.0,922.0,750.0
20504601,,,,439.0,355.0,288.0,295.0,285.0,217.0,216.0,202.0,195.0,225.0,248.0,420.0,730.0,1421.0,2263.0,1651.0,1607.0,1447.0,1225.0,3333.0,1354.0,1729.0,1342.0,1371.0,1662.0,2643.0,1573.0,1554.0,1489.0,1340.0,1338.0,1152.0,1272.0,1023.0,1033.0,904.0,731.0,627.0
20506502,,,,435.0,389.0,314.0,274.0,252.0,219.0,181.0,168.0,220.0,234.0,266.0,278.0,378.0,593.0,940.0,1346.0,1572.0,1403.0,1295.0,1334.0,1451.0,869.0,309.0,717.0,1608.0,1031.0,1325.0,1485.0,1317.0,1265.0,1144.0,1254.0,1227.0,1151.0,1017.0,864.0,764.0,682.0
2010123,,,,425.0,351.0,278.0,298.0,283.0,209.0,208.0,194.0,194.0,220.0,244.0,415.0,706.0,1372.0,2097.0,1580.0,1661.0,1460.0,1474.0,1279.0,1279.0,1746.0,1711.0,1664.0,1595.0,1699.0,1545.0,1537.0,1446.0,1352.0,1341.0,1156.0,1255.0,1009.0,1021.0,883.0,718.0,609.0
